iter	RMSE
0	0.9127151556
1	0.8273331419
2	0.7496461397
3	0.6808406317
4	0.618802745
5	0.5637411357
6	0.5117547929
7	0.4644396617
8	0.4219744222
9	0.3833677869
10	0.3483547404
11	0.3178422472
12	0.2915270955
13	0.267552634
14	0.2448012155
15	0.2260234811
16	0.2068952234
17	0.1914031448
18	0.1767946323
19	0.1629509115
20	0.1530806849
21	0.1447479377
22	0.1357511054
23	0.1279512429
24	0.1194104344
25	0.1134962455
26	0.106656509
27	0.1006146573
28	0.09505966599
29	0.09037386507
30	0.08669619694
31	0.08326903894
32	0.07986342336
33	0.07685836378
34	0.07442561076
35	0.07167072651
36	0.06931391163
37	0.06709412209
38	0.06470845886
39	0.0631108065
40	0.06127031046
41	0.05937656819
42	0.0577867374
43	0.05623515861
44	0.05497290405
45	0.05348635792
46	0.05211141911
47	0.05094940293
48	0.05003572629
49	0.04861975597
50	0.04776545437
51	0.04683289702
52	0.04607111398
53	0.04537136703
54	0.04425447388
55	0.04331719652
56	0.04262824941
57	0.04171875518
58	0.04113558125
59	0.04060354305
60	0.04007465291
61	0.03963365965
62	0.0389245385
63	0.03838389293
64	0.03791724867
65	0.03714302117
66	0.03675492185
67	0.03629339636
68	0.03589474878
69	0.03555874193
70	0.03509136624
71	0.03462215013
72	0.03403771641
73	0.03351106256
74	0.03302955615
75	0.03257602095
76	0.03194435719
77	0.03172261071
78	0.03123590503
79	0.03098296605
80	0.03061032419
81	0.03015061254
82	0.02993246785
83	0.02948438292
84	0.02924199341
85	0.0290087723
86	0.02855044067
87	0.02830446586
88	0.02801520132
89	0.02782063245
90	0.02757810551
91	0.02718805392
92	0.02682600352
93	0.02653489406
94	0.02632336632
95	0.0259838711
96	0.02564675372
97	0.02544641335
98	0.02513076649
99	0.02481301116
100	0.02462089677
101	0.02442662957
102	0.02425070876
103	0.02400077589
104	0.02377960735
105	0.02351105915
106	0.02335431191
107	0.02295946285
108	0.02280457488
109	0.02265525332
110	0.0223048449
111	0.02194663031
112	0.02180370442
113	0.02162366848
114	0.02134671245
115	0.02119644964
116	0.02095883243
117	0.02084410559
118	0.02064221891
119	0.02047726411
120	0.02025559353
121	0.02004792007
122	0.01989332887
123	0.01969791496
124	0.01950344776
125	0.01934786643
126	0.01920749981
127	0.01908830117
128	0.01898220604
129	0.01877696976
130	0.01859260951
131	0.01841192812
132	0.01821298132
133	0.01808106867
134	0.01792491307
135	0.01769584302
136	0.01757565935
137	0.01746017279
138	0.01737296081
139	0.01722809704
140	0.01704208071
141	0.01695908558
142	0.01685694677
143	0.01679328692
144	0.01663881803
145	0.01654052016
146	0.0163947362
147	0.01624277153
148	0.01614376469
149	0.01607408253
150	0.01598740635
151	0.01584548839
152	0.01574464927
153	0.0156753946
154	0.0155377162
155	0.01547615922
156	0.01537072058
157	0.01529275728
158	0.01521692587
159	0.01513966074
160	0.01501273753
161	0.01487545333
162	0.01478845049
163	0.01471732713
164	0.01457923913
165	0.01451267059
166	0.01444450272
167	0.01437750885
168	0.01430543162
169	0.01416523163
170	0.01404966601
171	0.01396418004
172	0.01387084106
173	0.01376988347
174	0.01368544993
175	0.01359514684
176	0.01352780946
177	0.01346047692
178	0.01335801375
179	0.01325324564
180	0.01315532346
181	0.01309575396
182	0.01303468778
183	0.0129671896
184	0.01291003792
185	0.01281937509
186	0.01276360699
187	0.01267342168
188	0.0126036571
189	0.012530917
190	0.01243014334
191	0.01237205563
192	0.0123016383
193	0.01220229892
194	0.01213077555
195	0.01208440017
196	0.01202975333
197	0.01198641351
198	0.01190676418
199	0.01183932603
200	0.01178438116
201	0.01173980692
202	0.01169839894
203	0.01165912082
204	0.01159505036
205	0.01153187659
206	0.01146030564
207	0.01140007367
208	0.01133302074
209	0.01129737336
210	0.01124755914
211	0.01118070979
212	0.01114074134
213	0.01108064151
214	0.0110251639
215	0.01096996681
216	0.01093430663
217	0.01089599272
218	0.01085647081
219	0.01080507286
220	0.01073130138
221	0.01068719617
222	0.0106197824
223	0.01058844669
224	0.01052986495
225	0.01049427638
226	0.01042539994
227	0.01036138995
228	0.01031717145
229	0.01027344695
230	0.01024529368
231	0.01021064253
232	0.01015264974
233	0.01008162444
234	0.01003889549
235	0.01001049418
236	0.009973795335
237	0.00990263002
238	0.009863238565
239	0.009825117996
240	0.009788935153
241	0.009742412699
242	0.009691847665
243	0.009637781571
